threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.39,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.4,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.41,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.42,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.43,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.44,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.45,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.46,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.47,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.48,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.49,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.5,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.51,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.52,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.53,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.54,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.55,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.56,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.57,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.58,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.59,57,8,14,3235.01,400.0,3635.01,0.8769230769230769,0.8028169014084507,0.0015272915247068774
0.6,57,7,14,3235.01,350.0,3585.01,0.890625,0.8028169014084507,0.0015037947320190794
0.61,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.62,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.63,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.64,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.65,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.66,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.67,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.68,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.69,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.7,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.71,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.72,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.73,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.74,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.75,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.76,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.77,57,6,14,3235.01,300.0,3535.01,0.9047619047619048,0.8028169014084507,0.0014802979393312814
0.78,56,6,15,3238.8,300.0,3538.8,0.9032258064516129,0.7887323943661971,0.0014568011466434831
0.79,56,6,15,3238.8,300.0,3538.8,0.9032258064516129,0.7887323943661971,0.0014568011466434831
0.8,56,5,15,3238.8,250.0,3488.8,0.9180327868852459,0.7887323943661971,0.0014333043539556851
0.81,56,4,15,3238.8,200.0,3438.8,0.9333333333333333,0.7887323943661971,0.0014098075612678869
0.82,56,4,15,3238.8,200.0,3438.8,0.9333333333333333,0.7887323943661971,0.0014098075612678869
