model,val_pr_auc,test_pr_auc,ci_low,ci_high,threshold_from_val,test_cost,fp,fn,precision,recall
xgboost (shipped),0.9999999999999999,0.8060567014994205,0.71301878788689,0.8870045819035307,0.09,4037.8,16,14,0.7808219178082192,0.8028169014084507
lightgbm,0.8479614959332608,0.8199031650924209,0.7318051722982913,0.8945314670498112,0.01,3497.32,5,15,0.9180327868852459,0.7887323943661971
catboost,0.8348546781511679,0.8106001329064675,0.7222281175844925,0.8869949492932143,0.36,3742.8,5,19,0.9122807017543859,0.7323943661971831
ensemble: mean prob (3),1.0,0.8176450931148382,0.7299796881137458,0.8950284970643831,0.31,3488.8,5,15,0.9180327868852459,0.7887323943661971
ensemble: rank-avg (3),0.8592180239609706,0.8172843618438086,0.7253475728613041,0.8933678265512974,0.99,11394.98,178,9,0.25833333333333336,0.8732394366197183
ensemble: rank-avg (xgb+lgb),0.874533801680335,0.8121450542484729,0.7177749654109868,0.8898755067261377,0.99,15945.74,269,10,0.18484848484848485,0.8591549295774648
