threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.31,1039,552,370,35896.080033512786,27600.0,63496.080033512786,0.6530483972344437,0.7374024130589071,0.0019829350429864424
0.32,1035,548,374,36148.92003080435,27400.0,63548.92003080435,0.6538218572331017,0.7345635202271115,0.0019729642822423244
0.33,1030,544,379,36519.80003068037,27200.0,63719.80003068037,0.6543837357052097,0.7310149041873669,0.001961747176405192
0.34,1028,539,381,36703.61002585478,26950.0,63653.61002585478,0.6560306317804723,0.7295954577714692,0.0019530227607540886
0.35,1026,535,383,36840.70002600737,26750.0,63590.70002600737,0.6572709801409353,0.7281760113555713,0.0019455446901960002
0.36,1026,531,383,36840.70002600737,26550.0,63390.70002600737,0.6589595375722543,0.7281760113555713,0.0019405593098239414
0.37,1023,528,386,37349.700021715835,26400.0,63749.700021715835,0.6595744680851063,0.7260468417317246,0.001933081239265853
0.38,1020,517,389,37423.220021219924,25850.0,63273.220021219924,0.6636304489264802,0.7239176721078779,0.0019156324079636466
0.39,1019,509,390,37435.78002163954,25450.0,62885.78002163954,0.6668848167539267,0.723207948899929,0.001904415302126514
0.4,1017,504,392,37480.780022593215,25200.0,62680.780022593215,0.6686390532544378,0.7217885024840313,0.0018956908864754109
0.41,1015,494,394,37838.45002266951,24700.0,62538.45002266951,0.6726308813783963,0.7203690560681334,0.001880734745359234
0.42,1012,487,397,37990.870020838454,24350.0,62340.870020838454,0.6751167444963309,0.7182398864442867,0.0018682712944290867
0.43,1009,483,400,38065.89002129622,24150.0,62215.89002129622,0.6762734584450402,0.71611071682044,0.0018595468787779837
0.44,1005,478,404,38188.08001896925,23900.0,62088.08001896925,0.6776803776129467,0.7132718239886444,0.001848329772940851
0.45,1004,475,405,38194.70001885481,23750.0,61944.70001885481,0.6788370520622042,0.7125621007806955,0.001843344392568792
0.46,1003,472,406,38203.17001912184,23600.0,61803.17001912184,0.68,0.7118523775727467,0.0018383590121967331
0.47,1003,472,406,38203.17001912184,23600.0,61803.17001912184,0.68,0.7118523775727467,0.0018383590121967331
0.48,1000,467,409,38637.730016680434,23350.0,61987.730016680434,0.6816632583503749,0.7097232079489,0.0018283882514526153
0.49,996,463,413,38786.770013781264,23150.0,61936.770013781264,0.682659355723098,0.7068843151171044,0.0018184174907084974
0.5,991,453,418,39198.56001851149,22650.0,61848.56001851149,0.6862880886426593,0.7033356990773598,0.0017997223143132763
0.51,988,450,421,39235.570018263534,22500.0,61735.570018263534,0.6870653685674548,0.7012065294535131,0.0017922442437551878
0.52,984,445,425,39401.35001382418,22250.0,61651.35001382418,0.688593421973408,0.6983676366217175,0.0017810271379180554
0.53,978,438,431,39843.280020805076,21900.0,61743.280020805076,0.690677966101695,0.6941092973740242,0.0017648246517088639
0.54,976,435,433,40281.830020042136,21750.0,62031.830020042136,0.6917080085046067,0.6926898509581263,0.00175859292624379
0.55,974,430,435,40463.50001821108,21500.0,61963.50001821108,0.6937321937321937,0.6912704045422285,0.001749868510592687
0.56,973,423,436,40587.620020957664,21150.0,61737.620020957664,0.6969914040114613,0.6905606813342796,0.001739897749848569
0.57,968,421,441,41318.70001378842,21050.0,62368.70001378842,0.6969042476601872,0.6870120652945352,0.0017311733341974658
0.58,965,412,444,41415.95000997372,20600.0,62015.95000997372,0.70079883805374,0.6848828956706884,0.0017162171930812892
0.59,963,405,446,41629.290013941005,20250.0,61879.290013941005,0.7039473684210527,0.6834634492547906,0.0017050000872441565
0.6,961,400,448,42108.040013941005,20000.0,62108.040013941005,0.7060984570168993,0.6820440028388929,0.0016962756715930534
0.61,958,391,451,42192.30001416989,19550.0,61742.30001416989,0.7101556708673091,0.6799148332150461,0.0016813195304768765
0.62,954,379,455,42412.51000943966,18950.0,61362.51000943966,0.7156789197299325,0.6770759403832506,0.0016613780089886408
0.63,950,373,459,42764.27000728436,18650.0,61414.27000728436,0.7180650037792895,0.674237047551455,0.0016489145580584935
0.64,942,366,467,43494.72000947781,18300.0,61794.72000947781,0.7201834862385321,0.6685592618878637,0.0016302193816632724
0.65,932,362,477,44931.80003702827,18100.0,63031.80003702827,0.7202472952086554,0.6614620298083748,0.001612770550361066
0.66,927,352,482,45175.580039145425,17600.0,62775.580039145425,0.7247849882720876,0.6579134137686302,0.0015940753739658452
0.67,922,348,487,45344.20003807731,17400.0,62744.20003807731,0.7259842519685039,0.6543647977288858,0.0015828582681287125
0.68,914,341,495,46494.040043713525,17050.0,63544.040043713525,0.7282868525896414,0.6486870120652946,0.0015641630917334916
0.69,911,336,498,46569.750043274835,16800.0,63369.750043274835,0.7305533279871692,0.6465578424414479,0.0015541923309893737
0.7,907,325,502,47060.100043656304,16250.0,63310.100043656304,0.7362012987012987,0.6437189496096523,0.0015354971545941526
0.71,897,317,512,48171.28005635925,15850.0,64021.28005635925,0.7388797364085667,0.6366217175301633,0.0015130629429198875
0.72,890,308,519,48392.78005922027,15400.0,63792.78005922027,0.7429048414023373,0.631653655074521,0.0014931214214316518
0.73,884,303,525,49053.89006173797,15150.0,64203.89006173797,0.7447346251053075,0.6273953158268275,0.0014794116254084897
0.74,883,289,526,49059.62006175704,14450.0,63509.62006175704,0.7534129692832765,0.6266855926188787,0.0014607164490132685
0.75,879,279,530,49169.520064475015,13950.0,63119.520064475015,0.7590673575129534,0.6238466997870831,0.0014432676177110622
0.76,870,273,539,49785.850074710324,13650.0,63435.850074710324,0.7611548556430446,0.6174591909155429,0.0014245724413158413
0.77,865,264,544,50033.93007272668,13200.0,63233.93007272668,0.7661647475642162,0.6139105748757985,0.001407123610013635
0.78,853,260,556,51606.420064749196,13000.0,64606.420064749196,0.766397124887691,0.6053938963804116,0.0013871820885253993
0.79,844,245,565,52305.900073828176,12250.0,64555.900073828176,0.7750229568411386,0.5990063875088716,0.0013572698062930457
0.8,828,236,581,53801.130082907155,11800.0,65601.13008290716,0.7781954887218046,0.5876508161816891,0.0013261111789676773
0.81,811,226,598,54525.98008090444,11300.0,65825.98008090444,0.7820636451301832,0.5755855216465579,0.0012924598614562795
0.82,801,214,608,54752.94008308835,10700.0,65452.94008308835,0.7891625615763547,0.5684882895670689,0.0012650402694099553
0.83,786,207,623,56000.63009363599,10350.0,66350.63009363599,0.7915407854984894,0.5578424414478353,0.0012376206773636312
0.84,773,192,636,57776.740077318624,9600.0,67376.74007731862,0.8010362694300518,0.5486160397444997,0.0012027230147592185
0.85,767,181,642,58444.690080942586,9050.0,67494.69008094259,0.8090717299578059,0.5443577004968062,0.0011815351481779682
0.86,756,165,653,58872.760078014806,8250.0,67122.7600780148,0.8208469055374593,0.5365507452093683,0.0011478838306665702
0.87,737,144,672,60733.82007366605,7200.0,67933.82007366605,0.8365493757094211,0.5230660042583393,0.0010980300269459809
0.88,718,126,691,61840.12006336637,6300.0,68140.12006336637,0.8507109004739336,0.5095812633073101,0.0010519152585044358
0.89,695,117,714,63323.69006121345,5850.0,69173.69006121345,0.8559113300492611,0.49325762952448543,0.0010120322155279643
