threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.32,56,9,15,3477.73,450.0,3927.73,0.8615384615384616,0.7887323943661971,0.0015272915247068774
0.33,56,9,15,3477.73,450.0,3927.73,0.8615384615384616,0.7887323943661971,0.0015272915247068774
0.34,56,9,15,3477.73,450.0,3927.73,0.8615384615384616,0.7887323943661971,0.0015272915247068774
0.35,56,9,15,3477.73,450.0,3927.73,0.8615384615384616,0.7887323943661971,0.0015272915247068774
0.36,56,8,15,3477.73,400.0,3877.73,0.875,0.7887323943661971,0.0015037947320190794
0.37,56,8,15,3477.73,400.0,3877.73,0.875,0.7887323943661971,0.0015037947320190794
0.38,56,8,15,3477.73,400.0,3877.73,0.875,0.7887323943661971,0.0015037947320190794
0.39,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.4,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.41,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.42,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.43,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.44,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.45,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.46,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.47,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.48,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.49,55,7,16,3478.73,350.0,3828.73,0.8870967741935484,0.7746478873239436,0.0014568011466434831
0.5,55,6,16,3478.73,300.0,3778.73,0.9016393442622951,0.7746478873239436,0.0014333043539556851
0.51,55,6,16,3478.73,300.0,3778.73,0.9016393442622951,0.7746478873239436,0.0014333043539556851
0.52,55,6,16,3478.73,300.0,3778.73,0.9016393442622951,0.7746478873239436,0.0014333043539556851
0.53,55,6,16,3478.73,300.0,3778.73,0.9016393442622951,0.7746478873239436,0.0014333043539556851
0.54,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.55,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.56,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.57,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.58,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.59,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.6,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.61,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.62,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.63,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.64,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.65,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.66,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.67,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.68,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.69,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
