iter	Passed	Remaining
437	99615	582685
438	99864	582579
439	100095	582375
440	100330	582189
441	100594	582175
442	100795	581792
443	100998	581421
444	101236	581256
445	101422	580788
446	101666	580658
447	101905	580498
448	102513	582430
449	102924	583237
450	103518	585077
451	104035	586464
452	104897	589787
453	105355	590824
454	106050	593183
455	106447	593865
456	107002	595423
457	107752	598050
458	108031	598057
459	108267	597827
460	108579	598014
461	108826	597839
462	109262	598701
463	109653	599311
464	110001	599684
465	110488	600808
466	110715	600520
467	111017	600635
468	111263	600445
469	111507	600242
470	111752	600049
471	112016	599954
472	112267	599787
473	112503	599542
474	112820	599729
475	113066	599539
476	113488	600275
477	113875	600826
478	114050	600255
479	114591	601606
480	114945	601970
481	115188	601752
482	115406	601405
483	115609	600980
484	115795	600466
485	115968	599886
486	116128	599239
487	116313	598728
488	116682	599161
489	117124	599963
490	117426	600046
491	118046	601750
492	118506	602629
493	119144	604405
494	119438	604430
495	119774	604669
496	119952	604107
497	120188	603839
498	120366	603278
499	120556	602781
500	120740	602258
501	120957	601897
502	121167	601503
503	121413	601287
504	121593	600741
505	121831	600490
506	122034	600062
507	122221	599559
508	122409	599060
509	122642	598785
510	122836	598318
511	123040	597902
512	123267	597593
513	123476	597202
514	123660	596693
515	123879	596348
516	124091	595976
517	124395	596043
518	124588	595574
519	124778	595096
520	124982	594687
521	125180	594246
522	125380	593821
523	125603	593499
524	125852	593303
525	126697	595912
526	127307	597402
527	127652	597645
528	128002	597909
529	128328	598061
530	128648	598177
531	129023	598551
532	129369	598786
533	129909	599919
534	130261	600174
535	130807	601326
536	131215	601830
537	132057	604321
538	132693	605861
539	133161	606626
540	133793	608129
541	134748	611094
542	135223	611866
543	135452	611530
544	135688	611218
545	136027	611377
546	136407	611716
547	137090	613405
548	138237	617157
549	139007	619214
550	139364	619423
551	139694	619516
552	139938	619221
553	140180	618920
554	140416	618593
555	140676	618371
556	141082	618789
557	141499	619252
558	141876	619534
559	142192	619554
560	142472	619413
561	142791	619438
562	143038	619154
563	143357	619181
564	143588	618829
565	143838	618557
566	144170	618634
567	144411	618324
568	144662	618056
569	144908	617768
570	145154	617479
571	145397	617177
572	145705	617150
573	146045	617257
574	146289	616959
575	146544	616706
576	146924	616982
577	147298	617224
578	147622	617262
579	147939	617266
580	148262	617291
581	148497	616955
582	148741	616652
583	148973	616302
584	149294	616319
585	149734	616822
586	150050	616816
587	150367	616812
588	150707	616903
589	150934	616527
590	151344	616899
591	151596	616628
592	152090	617337
593	152423	617393
594	152683	617149
595	153001	617140
596	153352	617263
597	153660	617212
598	153898	616879
599	154219	616877
600	154448	616510
601	154681	616156
602	155102	616553
603	155302	616065
604	155485	615518
605	155666	614959
606	155864	614469
607	156383	615247
608	157234	617318
609	157631	617606
610	157970	617663
611	158330	617798
612	158720	618051
613	158965	617737
614	159197	617375
615	159449	617091
616	159704	616817
617	160069	616968
618	160329	616712
619	160571	616387
620	160839	616163
621	161087	615863
622	161354	615634
623	161617	615390
624	161886	615167
625	162269	615378
626	162633	615518
627	162953	615485
628	163177	615094
629	163483	615009
630	163658	614433
631	163875	614016
632	164091	613593
633	164248	612954
634	164412	612339
635	164591	611781
636	164751	611157
637	164954	610694
638	165146	610187
639	165402	609922
640	165592	609410
641	165771	608861
642	165954	608328
643	166160	607878
644	166347	607361
645	166580	607014
646	166822	606698
647	167069	606399
648	167343	606202
649	167525	605670
650	167695	605096
651	167877	604565
652	168056	604023
653	168232	603476
654	168418	602962
655	168631	602550
656	168826	602069
657	169022	601597
658	169222	601139
659	169422	600681
660	169623	600227
661	169802	599695
662	169982	599168
663	170156	598623
664	170356	598169
665	170544	597673
666	170748	597235
667	170925	596704
668	171114	596215
669	171330	595820
670	171531	595375
671	171718	594880
672	171895	594356
673	172081	593860
674	172255	593324
675	172443	592837
676	172614	592295
677	172786	591754
678	172971	591263
679	173141	590718
680	173349	590305
681	173560	589902
682	173759	589458
683	173931	588927
684	174108	588411
685	174317	588003
686	174533	587622
687	174746	587230
688	174937	586765
689	175113	586250
690	175281	585707
691	175465	585223
692	175645	584725
693	175873	584384
694	176066	583931
695	176293	583592
696	176552	583359
697	176753	582932
698	176938	582453
699	177117	581958
700	177287	581431
701	177490	581014
702	177709	580651
703	177984	580472
704	178175	580017
705	178378	579605
706	178579	579183
707	178787	578787
708	179174	578970
709	179713	579638
710	180159	580007
711	180784	580946
712	181147	581042
713	181482	581049
714	182017	581693
715	182493	582145
716	182876	582296
717	183055	581800
718	183848	583251
719	184472	584161
720	184893	584426
721	185271	584554
722	185572	584437
723	185971	584628
724	186348	584749
725	186843	585236
726	187412	585954
727	187870	586320
728	188292	586574
729	188769	586994
730	189734	588928
731	190740	590981
732	192154	594290
733	193766	598194
734	194177	598385
735	194433	598095
736	194659	597714
737	194859	597252
738	195075	596842
739	195350	596611
740	195613	596345
741	196182	597008
742	197411	599674
743	198016	600437
744	198487	600790
745	199057	601441
746	199652	602163
747	200104	602454
748	200499	602570
749	200924	602772
750	201393	603108
751	202491	605321
752	203056	605933
753	203662	606666
754	204293	607469
755	204962	608379
756	205550	609047
757	206030	609394
758	206593	609981
759	208103	613357
760	208625	613814
761	209281	614662
762	209975	615617
763	211214	618160
764	214379	626325
765	214898	626739
766	215285	626769
767	215635	626689
768	216066	626844
769	216766	627779
770	219026	633217
771	219346	633036
772	219604	632677
773	219805	632153
774	220015	631656
775	220273	631298
776	220518	630904
777	220765	630516
778	221071	630293
779	221396	630127
780	221629	629700
781	221911	629411
782	222149	628998
783	222381	628568
784	222592	628079
785	222828	627662
786	222996	627052
787	223189	626515
788	223402	626035
789	223671	625712
790	223944	625401
791	224220	625100
792	224494	624791
793	224770	624487
794	225040	624168
795	225317	623869
796	225582	623537
797	225919	623400
798	226203	623122
799	226470	622795
800	226803	622647
801	227126	622473
802	227416	622208
803	227693	621909
804	227880	621362
805	228057	620792
806	228264	620301
807	228483	619845
808	228822	619716
809	229137	619519
810	229379	619125
811	229691	618922
812	230017	618754
813	230346	618595
814	230600	618234
815	230851	617867
816	231099	617492
817	231380	617202
818	231839	617390
819	232099	617045
820	232335	616638
821	232579	616250
822	233029	616409
823	233291	616071
824	233735	616212
825	233977	615818
826	234176	615315
827	234330	614693
