iter	PRAUC	Logloss
0	0.007028144389	0.5994567792
1	0.01881888676	0.5122639835
2	0.4497079004	0.4251159543
3	0.5158232456	0.3611542772
4	0.6594774998	0.3001392592
5	0.7024378997	0.2498095325
6	0.7144357835	0.2075991764
7	0.7073475026	0.1751895735
8	0.7151117008	0.1474997976
9	0.7536750819	0.1233376013
10	0.7603959768	0.104116077
11	0.7642697366	0.08764601899
12	0.7673246868	0.07440578198
13	0.7772663107	0.0631385517
14	0.7805842604	0.0537284053
15	0.7943201073	0.04620882534
16	0.8011857357	0.03980483721
17	0.8043091283	0.03450605839
18	0.8068718279	0.03025336172
19	0.8087353816	0.02654931349
20	0.81423799	0.02346424804
21	0.8230997985	0.02073029447
22	0.8251220202	0.01824334056
23	0.8310207884	0.0161286555
24	0.8323031736	0.01448424967
25	0.8352449829	0.01298555453
26	0.8374521905	0.01175966535
27	0.8393486162	0.01070761134
28	0.8414843053	0.00972776211
29	0.8419230697	0.009015952119
30	0.8431946596	0.008282493716
31	0.8445485439	0.007682878831
32	0.8452942381	0.007179958025
33	0.8466133425	0.006771904877
34	0.8478296503	0.00632799772
35	0.8486461322	0.005914821926
36	0.8495050057	0.005566193707
37	0.8504655228	0.005299324492
38	0.8511659187	0.00501721763
39	0.8517398011	0.004791011025
40	0.8523312945	0.00458733145
41	0.8531727133	0.004378932678
42	0.85340452	0.004245541647
43	0.8542632451	0.00406653565
44	0.8541928776	0.003935009199
45	0.8548948359	0.003796053561
46	0.8553808768	0.00369115168
47	0.8560361138	0.00357813011
48	0.8564236831	0.00349417012
49	0.8565100057	0.003417759463
50	0.8570519367	0.003340269673
51	0.8574346665	0.003269076398
52	0.8581629777	0.0031986785
53	0.8586375104	0.003134601676
54	0.8591955952	0.003075904077
55	0.8593805553	0.003033331381
56	0.8599143814	0.002993251443
57	0.8603746876	0.002939806703
58	0.8609408434	0.002895617841
59	0.8614385749	0.002851694813
60	0.8618739663	0.002820299583
61	0.8621882453	0.002794370575
62	0.8625432483	0.002762462873
63	0.8628419427	0.002732286609
64	0.8631800519	0.002708808327
65	0.8635466131	0.002687685429
66	0.8640318444	0.002660643369
67	0.8642908989	0.002635740271
68	0.8648030364	0.002614200286
69	0.8650182104	0.002593445913
70	0.8655235782	0.002572882266
71	0.8659257363	0.002552526813
72	0.8661830162	0.002534158065
73	0.8666290326	0.002516852249
74	0.8669035999	0.002501654392
75	0.8673792182	0.002481859178
76	0.8677738652	0.0024581367
77	0.8682505084	0.002440332425
78	0.8684021239	0.002428121574
79	0.8685590527	0.002417004915
80	0.8688678348	0.002406523556
81	0.8692926574	0.002395866126
82	0.8694485494	0.002383448057
83	0.8697168253	0.002372689674
84	0.8701064509	0.002364943104
85	0.8705418525	0.002349207027
86	0.8708083045	0.002344980179
87	0.8710047552	0.002335847479
88	0.8711788368	0.002324751143
89	0.8715040257	0.002319002441
90	0.8718055796	0.002310950109
91	0.8720356013	0.002303242692
92	0.8725163091	0.002286128271
93	0.8733164737	0.002267961761
94	0.8738258439	0.002253627452
95	0.8742416251	0.002244837834
96	0.8748727978	0.002231640572
97	0.8752430151	0.002218783958
98	0.8753326041	0.002214060357
99	0.8753706342	0.002209301195
100	0.8756200203	0.002204694748
101	0.8758147007	0.002195500377
102	0.8761321804	0.002188547814
103	0.8764490411	0.002184680121
104	0.877165449	0.002169813997
105	0.8776345725	0.002162183065
106	0.8779427454	0.002158982929
107	0.8781659983	0.002154000192
108	0.8783881717	0.002149133493
109	0.8787474603	0.002142565305
110	0.8788991846	0.002139786559
111	0.8792861352	0.002130509216
112	0.8797481972	0.002120941841
113	0.8800302754	0.002116285947
114	0.8804001999	0.002110652303
115	0.8805198042	0.002107490021
116	0.8807368267	0.002102056427
117	0.880885829	0.002098999501
118	0.8812185175	0.00209374917
119	0.881389373	0.002091029406
120	0.8815829476	0.002089188008
121	0.8817707671	0.002086823514
122	0.8820324651	0.002082314081
123	0.8822237964	0.002079906086
124	0.8823406442	0.002077705628
125	0.8824421879	0.002074754622
126	0.8828834286	0.002067491437
127	0.8829937585	0.002065469565
128	0.8835042635	0.002056543827
129	0.8838746639	0.002052524309
130	0.8840779152	0.00204977802
131	0.8841089482	0.0020477667
132	0.8842500886	0.002045763433
133	0.8844159991	0.002042447165
134	0.8846304062	0.002037188968
135	0.8847505904	0.00203041889
136	0.8849568303	0.002027607643
137	0.8850510658	0.002025640189
138	0.8854559579	0.002017452417
139	0.885969781	0.00201142922
140	0.8862094418	0.002008134391
141	0.8863692904	0.002005915085
142	0.8864513856	0.00200292986
143	0.8866199463	0.001999786008
144	0.8869228539	0.001996711219
145	0.8870820418	0.001994636457
146	0.8872493371	0.001992255018
147	0.8874435639	0.001989919812
148	0.8876993719	0.001986374768
149	0.8879835357	0.001979129179
150	0.8883483175	0.001973299176
151	0.8884842713	0.001967449046
152	0.888690404	0.001963138914
153	0.888869754	0.001960668055
154	0.8890062927	0.001957484719
155	0.8891942431	0.001955255411
156	0.8893890686	0.00195321746
157	0.8896286928	0.001951318583
158	0.8898343377	0.001946874382
